Short Term Feature Names: ,zcr,energy,energy_entropy,spectral_centroid,spectral_spread,spectral_entropy,spectral_flux,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,chroma_std
3_copy,0.029843097004301395,0.03040478367288759,3.131241654922361,0.12461062774310476,0.18897962715907565,0.07993721508438965,0.0,0.018627777777777778,-17.210960353508337,2.621235001539419,0.8678453036623857,0.989657033221359,0.4507313957239998,0.13732503020118514,0.0646798611077263,0.030460536103086366,0.03713175115799195,0.007577417165015789,0.1367266831214768,0.18112498813931108,-0.059897499889628655,9.725971366276014e-08,1.5424646725093218e-07,1.067056125097237e-07,1.5285286252060845e-07,2.119345146860405e-07,1.3392034693890196e-07,6.212898398006143e-08,8.252095795197665e-08,1.403597196296477e-07,1.044812472089035e-07,1.2332525287433527e-07,2.965865461553479e-07,6.050219893654338e-08
2_copy,0.08428483928449901,0.018102527373964197,3.3027425476095362,0.19574468581604942,0.19492782385902088,0.8412327827408356,0.0,0.146275,-13.912633079135983,1.9308633105944928,-0.00029377205152186434,0.4712841885815546,-0.15798002446373888,0.15188238203343218,0.0018624808219419662,0.11208712093573811,0.12419124053015826,0.267281951974119,-0.04117254141251237,-0.09699099414584234,-0.12255496902691365,7.904932442569428e-08,1.1835766427086355e-07,4.885092702954067e-07,5.495866543871761e-07,2.026737869286396e-07,1.6490522667759509e-06,1.1467244501744512e-06,1.1330544140921938e-06,7.783443641421115e-06,7.498644170888551e-06,2.131426077818845e-06,8.018420667552495e-07,2.6072619807510223e-06
4_copy,0.08416539467415927,0.05083277479700946,3.316779644163444,0.16327986103533174,0.1777423221266567,0.6410366815418715,0.0,0.10443333333333334,-13.286445264423817,1.9179606542960321,0.7640829261641138,0.464447595734806,-0.34407303070049067,0.5147473459096343,0.12126106490037142,0.3692191065088329,-0.039221946698324045,0.13843127356422794,-0.12475885368387443,0.04626188327310006,0.056028717829248884,4.408811669328689e-07,3.8728722297651115e-07,3.0780846020950246e-07,2.313792141314469e-07,1.6834084923916118e-07,1.7614174984396024e-07,1.8603673671286577e-07,1.5817484684509986e-07,3.881207564182713e-07,1.3291727133150053e-06,1.4435982356506203e-06,2.728120222124038e-06,7.525103939085283e-07
5_copy,0.07891955405493618,0.03286582864394008,3.287640565858661,0.17903832232567396,0.1850396380793607,0.8217081423826461,0.0,0.12326666666666666,-12.979482598619326,2.1250637314232765,-0.4611966950456947,0.07856555643358946,0.19124085795307788,-0.08877701639539488,-0.24895136930767103,-0.2862248665335735,-0.3931313768253466,-0.34949670872405303,-0.0782951877203866,0.03833618950959255,-0.2039354089881473,1.044696252101803e-08,2.08949204287172e-08,1.4777838421387494e-08,5.99633062834187e-09,1.0083408096512096e-08,8.36275116130339e-09,3.893079112915918e-09,2.678120898387909e-09,9.509900435160856e-09,1.2070787070197676e-08,9.834554027189238e-09,1.4012911920464481e-08,4.756228390268799e-09
